average,STDEV.P,proportion
3.17E-07,3.02868E-08,9.55 
3.40E-07,3.14862E-08,9.27 
3.63E-07,3.27158E-08,9.01 
3.87E-07,3.4035E-08,8.80 
4.12E-07,3.56904E-08,8.65 
4.39E-07,3.67455E-08,8.37 
4.66E-07,3.87061E-08,8.31 
4.95E-07,4.0841E-08,8.24 
5.25E-07,4.24662E-08,8.09 
5.59E-07,4.55903E-08,8.16 
5.94E-07,4.82275E-08,8.12 
6.30E-07,5.02468E-08,7.97 
6.68E-07,5.20664E-08,7.79 
7.07E-07,5.30647E-08,7.50 
7.48E-07,5.40511E-08,7.23 
7.90E-07,5.56041E-08,7.04 
8.31E-07,5.70856E-08,6.87 
8.77E-07,5.85147E-08,6.67 
9.21E-07,6.00632E-08,6.52 
9.67E-07,6.15672E-08,6.37 
1.01E-06,6.23876E-08,6.15 
1.06E-06,6.38999E-08,6.02 
1.11E-06,6.49925E-08,5.86 
1.16E-06,6.70236E-08,5.78 
1.21E-06,6.93314E-08,5.72 
1.27E-06,7.15237E-08,5.65 
1.32E-06,7.26371E-08,5.49 
1.38E-06,7.53452E-08,5.46 
1.44E-06,7.66099E-08,5.33 
1.50E-06,7.85307E-08,5.24 
1.56E-06,8.02684E-08,5.14 
1.62E-06,8.20262E-08,5.06 
1.69E-06,8.25525E-08,4.89 
1.76E-06,8.35996E-08,4.76 
1.83E-06,8.40961E-08,4.61 
1.90E-06,8.49701E-08,4.48 
1.97E-06,8.77331E-08,4.45 
2.04E-06,8.85941E-08,4.34 
2.12E-06,9.00967E-08,4.25 
2.20E-06,9.17756E-08,4.18 
2.28E-06,9.44617E-08,4.15 
2.36E-06,9.77468E-08,4.15 
2.44E-06,1.00566E-07,4.13 
2.52E-06,1.02067E-07,4.05 
2.61E-06,1.02843E-07,3.94 
2.69E-06,9.983E-08,3.71 
2.78E-06,1.0089E-07,3.62 
2.88E-06,1.0136E-07,3.53 
2.97E-06,1.02636E-07,3.45 
3.07E-06,1.04723E-07,3.41 
3.16E-06,1.06909E-07,3.38 
3.26E-06,1.05973E-07,3.25 
3.36E-06,1.10857E-07,3.29 
3.46E-06,1.1376E-07,3.28 
3.57E-06,1.12398E-07,3.15 
3.68E-06,1.12949E-07,3.07 
3.78E-06,1.15714E-07,3.06 
3.89E-06,1.17018E-07,3.01 
4.00E-06,1.20655E-07,3.02 
4.11E-06,1.22269E-07,2.97 
