rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10,
3.90E-06,4.00E-06,4.01E-06,4.03E-06,4.10E-06,4.15E-06,4.19E-06,4.21E-06,4.25E-06,4.30E-06,
6.14E-07,6.98E-07,7.11E-07,7.27E-07,7.50E-07,7.75E-07,7.88E-07,8.00E-07,8.16E-07,8.33E-07,
4.39E-07,5.14E-07,5.30E-07,5.45E-07,5.64E-07,5.82E-07,5.96E-07,6.05E-07,6.18E-07,6.34E-07,
3.22E-07,4.20E-07,4.35E-07,4.48E-07,4.67E-07,4.82E-07,4.95E-07,5.03E-07,5.20E-07,5.31E-07,
2.41E-07,3.23E-07,3.36E-07,3.47E-07,4.01E-07,4.16E-07,4.29E-07,4.32E-07,4.48E-07,4.60E-07,
1.89E-07,2.56E-07,2.69E-07,2.81E-07,3.14E-07,3.29E-07,3.39E-07,3.46E-07,3.59E-07,4.05E-07,
1.50E-07,2.08E-07,2.21E-07,2.33E-07,2.61E-07,2.73E-07,2.83E-07,2.87E-07,3.02E-07,3.27E-07,
1.23E-07,1.73E-07,1.84E-07,1.96E-07,2.18E-07,2.28E-07,2.38E-07,2.41E-07,2.54E-07,2.77E-07,
1.02E-07,1.44E-07,1.55E-07,1.65E-07,1.85E-07,1.94E-07,2.02E-07,2.06E-07,2.17E-07,2.36E-07,
8.45E-08,1.23E-07,1.32E-07,1.43E-07,1.58E-07,1.65E-07,1.74E-07,1.77E-07,1.89E-07,2.03E-07,
7.14E-08,1.04E-07,1.13E-07,1.22E-07,1.36E-07,1.42E-07,1.50E-07,1.52E-07,1.63E-07,1.76E-07,
5.97E-08,8.90E-08,9.74E-08,1.06E-07,1.16E-07,1.23E-07,1.31E-07,1.32E-07,1.42E-07,1.53E-07,
5.08E-08,7.68E-08,8.42E-08,9.20E-08,1.00E-07,1.06E-07,1.13E-07,1.15E-07,1.23E-07,1.33E-07,
4.30E-08,6.63E-08,7.24E-08,7.91E-08,8.68E-08,9.28E-08,9.85E-08,1.01E-07,1.08E-07,1.15E-07,
3.23E-08,5.62E-08,6.28E-08,6.85E-08,7.49E-08,7.94E-08,8.59E-08,8.75E-08,9.37E-08,1.01E-07,
2.58E-08,4.84E-08,5.45E-08,5.92E-08,6.53E-08,6.93E-08,7.51E-08,7.67E-08,8.15E-08,8.70E-08,
2.09E-08,4.17E-08,4.72E-08,5.08E-08,5.68E-08,5.99E-08,6.49E-08,6.75E-08,7.23E-08,7.65E-08,
1.70E-08,3.15E-08,4.12E-08,4.44E-08,4.90E-08,5.17E-08,5.68E-08,5.90E-08,6.28E-08,6.68E-08,
1.37E-08,2.58E-08,3.12E-08,3.38E-08,4.21E-08,4.48E-08,4.94E-08,5.11E-08,5.47E-08,5.83E-08,
1.10E-08,2.12E-08,2.60E-08,2.84E-08,3.24E-08,3.48E-08,4.32E-08,4.42E-08,4.81E-08,5.05E-08,
8.72E-09,1.72E-08,2.12E-08,2.34E-08,2.65E-08,2.90E-08,3.34E-08,3.40E-08,4.15E-08,4.38E-08,
7.14E-09,1.39E-08,1.72E-08,1.94E-08,2.18E-08,2.41E-08,2.80E-08,2.88E-08,3.18E-08,3.43E-08,
6.80E-09,1.13E-08,1.41E-08,1.58E-08,1.78E-08,1.98E-08,2.31E-08,2.39E-08,2.69E-08,2.81E-08,
5.68E-09,9.38E-09,1.16E-08,1.29E-08,1.45E-08,1.65E-08,1.90E-08,1.95E-08,2.19E-08,2.39E-08,
4.81E-09,7.73E-09,9.57E-09,1.06E-08,1.18E-08,1.35E-08,1.56E-08,1.60E-08,1.80E-08,1.95E-08,
3.30E-09,7.39E-09,7.82E-09,8.71E-09,9.81E-09,1.09E-08,1.27E-08,1.33E-08,1.49E-08,1.62E-08,
2.61E-09,6.24E-09,7.36E-09,7.03E-09,7.93E-09,8.87E-09,1.05E-08,1.10E-08,1.24E-08,1.34E-08,
2.00E-09,5.26E-09,6.33E-09,6.79E-09,7.45E-09,7.27E-09,8.44E-09,9.32E-09,1.04E-08,1.11E-08,
1.56E-09,4.43E-09,5.28E-09,5.75E-09,6.51E-09,6.89E-09,7.13E-09,7.54E-09,8.48E-09,9.07E-09,
1.21E-09,3.01E-09,4.46E-09,4.90E-09,5.70E-09,5.94E-09,6.68E-09,7.26E-09,8.07E-09,7.45E-09,
9.25E-10,2.30E-09,3.11E-09,4.16E-09,4.48E-09,4.84E-09,5.90E-09,6.20E-09,6.88E-09,7.19E-09,
7.39E-10,1.76E-09,2.43E-09,2.85E-09,3.04E-09,4.01E-09,5.00E-09,5.39E-09,5.82E-09,6.25E-09,
5.96E-10,1.35E-09,1.88E-09,2.32E-09,2.46E-09,2.80E-09,4.13E-09,4.65E-09,4.82E-09,5.37E-09,
4.63E-10,1.06E-09,1.48E-09,1.73E-09,1.86E-09,2.27E-09,2.82E-09,3.30E-09,4.16E-09,4.61E-09,
2.75E-10,7.92E-10,1.12E-09,1.31E-09,1.41E-09,1.73E-09,2.24E-09,2.60E-09,2.96E-09,3.23E-09,
2.01E-10,6.18E-10,8.49E-10,9.88E-10,1.02E-09,1.36E-09,1.73E-09,2.07E-09,2.30E-09,2.46E-09,
1.59E-10,4.67E-10,6.64E-10,7.53E-10,7.90E-10,1.05E-09,1.35E-09,1.58E-09,1.83E-09,1.86E-09,
1.13E-10,2.63E-10,4.82E-10,6.04E-10,6.09E-10,8.46E-10,9.95E-10,1.30E-09,1.34E-09,1.37E-09,
7.69E-11,2.01E-10,3.05E-10,4.59E-10,4.85E-10,6.64E-10,7.90E-10,9.71E-10,1.06E-09,1.09E-09,
5.95E-11,1.45E-10,2.04E-10,2.62E-10,2.81E-10,5.02E-10,6.18E-10,7.71E-10,8.01E-10,8.30E-10,
4.40E-11,1.17E-10,1.45E-10,1.98E-10,1.99E-10,2.90E-10,4.75E-10,5.97E-10,5.52E-10,6.44E-10,
2.00E-11,7.34E-11,1.10E-10,1.53E-10,1.39E-10,2.03E-10,2.59E-10,4.26E-10,4.05E-10,5.02E-10,
1.26E-11,5.50E-11,7.49E-11,1.25E-10,1.10E-10,1.64E-10,1.92E-10,2.36E-10,2.55E-10,2.70E-10,
9.08E-12,4.22E-11,5.44E-11,9.11E-11,7.58E-11,1.06E-10,1.44E-10,1.75E-10,1.76E-10,1.97E-10,
6.71E-12,1.88E-11,4.40E-11,6.33E-11,6.10E-11,7.94E-11,1.03E-10,1.45E-10,1.25E-10,1.43E-10,
4.43E-12,1.24E-11,2.26E-11,4.61E-11,4.93E-11,6.31E-11,7.63E-11,9.97E-11,8.93E-11,1.07E-10,
3.22E-12,8.32E-12,1.35E-11,2.13E-11,2.48E-11,4.41E-11,5.48E-11,6.64E-11,6.35E-11,7.55E-11,
2.52E-12,5.94E-12,8.94E-12,1.40E-11,1.47E-11,2.05E-11,4.24E-11,4.99E-11,5.18E-11,5.69E-11,
2.12E-12,4.23E-12,5.99E-12,8.59E-12,9.97E-12,1.37E-11,2.04E-11,2.35E-11,2.55E-11,4.25E-11,
1.69E-12,3.26E-12,4.53E-12,5.93E-12,7.20E-12,8.57E-12,1.31E-11,1.53E-11,1.64E-11,2.17E-11,
1.26E-12,2.43E-12,3.31E-12,4.33E-12,5.09E-12,6.29E-12,8.81E-12,1.03E-11,1.06E-11,1.30E-11,
1.06E-12,1.93E-12,2.56E-12,3.19E-12,3.58E-12,4.43E-12,6.14E-12,7.51E-12,7.24E-12,8.75E-12,
9.11E-13,1.59E-12,2.04E-12,2.45E-12,2.90E-12,3.39E-12,4.42E-12,5.11E-12,5.61E-12,6.29E-12,
7.36E-13,1.19E-12,1.59E-12,2.00E-12,2.21E-12,2.66E-12,3.24E-12,3.63E-12,4.14E-12,4.71E-12,
6.20E-13,1.02E-12,1.26E-12,1.61E-12,1.79E-12,2.08E-12,2.46E-12,2.74E-12,3.25E-12,3.64E-12,
5.08E-13,8.33E-13,1.02E-12,1.23E-12,1.41E-12,1.60E-12,1.96E-12,2.18E-12,2.45E-12,2.74E-12,
4.61E-13,6.92E-13,8.82E-13,1.08E-12,1.19E-12,1.29E-12,1.53E-12,1.74E-12,1.93E-12,2.16E-12,
3.99E-13,5.80E-13,7.17E-13,8.39E-13,9.22E-13,1.08E-12,1.26E-12,1.38E-12,1.50E-12,1.72E-12,
3.64E-13,4.89E-13,5.96E-13,7.21E-13,7.98E-13,8.83E-13,1.05E-12,1.15E-12,1.19E-12,1.35E-12,
3.42E-13,4.33E-13,5.16E-13,6.12E-13,6.69E-13,7.65E-13,8.29E-13,9.56E-13,1.01E-12,1.15E-12,
2.88E-13,3.83E-13,4.47E-13,5.44E-13,5.75E-13,6.39E-13,7.12E-13,8.10E-13,8.50E-13,9.24E-13,
2.72E-13,3.56E-13,4.02E-13,4.62E-13,5.13E-13,5.26E-13,6.36E-13,6.89E-13,7.20E-13,8.03E-13,
2.66E-13,3.01E-13,3.54E-13,4.17E-13,4.35E-13,4.85E-13,5.27E-13,5.83E-13,6.13E-13,6.92E-13,
2.23E-13,2.62E-13,3.09E-13,3.72E-13,3.80E-13,4.05E-13,4.84E-13,5.24E-13,5.56E-13,5.88E-13,
2.09E-13,2.78E-13,2.98E-13,3.37E-13,3.27E-13,3.69E-13,4.34E-13,4.44E-13,4.62E-13,4.99E-13,
1.91E-13,2.59E-13,2.46E-13,3.12E-13,3.03E-13,3.16E-13,3.68E-13,4.02E-13,4.25E-13,4.73E-13,
1.99E-13,2.11E-13,2.55E-13,2.57E-13,2.83E-13,3.06E-13,3.12E-13,3.43E-13,3.76E-13,4.00E-13,
1.59E-13,2.03E-13,2.02E-13,2.28E-13,2.58E-13,2.82E-13,2.92E-13,3.02E-13,3.30E-13,3.59E-13,
1.67E-13,1.89E-13,2.00E-13,2.23E-13,2.46E-13,2.68E-13,2.71E-13,2.59E-13,3.04E-13,3.18E-13,
1.49E-13,1.70E-13,2.14E-13,1.98E-13,2.17E-13,2.44E-13,2.49E-13,2.54E-13,2.73E-13,2.93E-13,
1.51E-13,1.58E-13,1.62E-13,1.75E-13,2.00E-13,2.35E-13,2.43E-13,2.55E-13,2.65E-13,2.58E-13,
1.35E-13,1.43E-13,1.69E-13,1.61E-13,1.91E-13,2.00E-13,2.14E-13,2.33E-13,2.29E-13,2.46E-13,
1.33E-13,1.38E-13,1.54E-13,1.57E-13,1.77E-13,1.75E-13,1.94E-13,2.05E-13,2.10E-13,2.42E-13,
1.26E-13,1.54E-13,1.41E-13,1.55E-13,1.68E-13,1.88E-13,1.80E-13,2.11E-13,2.06E-13,2.06E-13,
1.29E-13,1.51E-13,1.47E-13,1.54E-13,1.62E-13,1.79E-13,1.98E-13,1.72E-13,2.01E-13,2.16E-13,
1.37E-13,1.56E-13,1.31E-13,1.40E-13,1.48E-13,1.84E-13,1.76E-13,1.67E-13,1.92E-13,1.93E-13,
1.22E-13,1.34E-13,1.35E-13,1.43E-13,1.53E-13,1.74E-13,1.79E-13,1.85E-13,1.74E-13,1.82E-13,
1.36E-13,1.46E-13,1.22E-13,1.56E-13,1.57E-13,1.60E-13,1.53E-13,1.76E-13,1.63E-13,1.82E-13,
1.20E-13,1.30E-13,1.46E-13,1.40E-13,1.61E-13,1.71E-13,1.41E-13,1.73E-13,1.57E-13,1.59E-13,
1.25E-13,9.50E-14,1.39E-13,1.42E-13,1.37E-13,1.56E-13,1.50E-13,1.78E-13,1.71E-13,1.73E-13,
1.29E-13,1.39E-13,1.18E-13,1.43E-13,1.55E-13,1.43E-13,1.18E-13,1.40E-13,1.35E-13,1.58E-13,
1.17E-13,1.33E-13,1.28E-13,1.34E-13,1.50E-13,1.58E-13,1.44E-13,1.30E-13,1.43E-13,1.37E-13,
1.09E-13,1.51E-13,1.35E-13,1.50E-13,1.35E-13,1.28E-13,1.15E-13,1.33E-13,1.39E-13,1.54E-13,
1.36E-13,1.32E-13,1.42E-13,1.07E-13,1.27E-13,1.14E-13,1.08E-13,1.26E-13,1.33E-13,1.42E-13,
1.31E-13,1.30E-13,1.40E-13,1.36E-13,1.40E-13,1.37E-13,1.12E-13,1.24E-13,1.39E-13,1.45E-13,
1.31E-13,1.53E-13,1.32E-13,1.41E-13,1.24E-13,1.27E-13,1.39E-13,1.34E-13,1.40E-13,1.15E-13,
1.20E-13,1.28E-13,1.20E-13,1.46E-13,1.29E-13,1.16E-13,1.43E-13,1.30E-13,1.35E-13,1.35E-13,
1.31E-13,1.08E-13,1.26E-13,1.07E-13,1.20E-13,1.23E-13,1.31E-13,1.37E-13,1.23E-13,1.53E-13,
1.40E-13,1.19E-13,1.33E-13,1.24E-13,1.45E-13,1.18E-13,1.42E-13,1.14E-13,1.41E-13,1.11E-13,
1.28E-13,1.33E-13,1.39E-13,1.21E-13,1.24E-13,1.27E-13,1.19E-13,1.20E-13,1.30E-13,1.16E-13,
1.14E-13,1.16E-13,1.38E-13,1.09E-13,1.18E-13,1.05E-13,9.81E-14,1.35E-13,1.52E-13,1.24E-13,
1.09E-13,9.07E-14,1.28E-13,1.29E-13,1.23E-13,1.34E-13,1.19E-13,1.28E-13,1.31E-13,1.15E-13,
1.15E-13,9.49E-14,1.16E-13,1.27E-13,1.17E-13,1.27E-13,1.19E-13,1.18E-13,1.50E-13,1.22E-13,
1.22E-13,1.14E-13,1.26E-13,1.24E-13,1.12E-13,1.27E-13,1.39E-13,8.93E-14,1.12E-13,1.31E-13,
9.85E-14,1.15E-13,1.18E-13,9.98E-14,1.20E-13,1.15E-13,1.14E-13,1.25E-13,1.14E-13,1.19E-13,
1.13E-13,1.27E-13,1.32E-13,1.19E-13,1.22E-13,9.84E-14,1.32E-13,1.16E-13,1.12E-13,1.12E-13,
1.11E-13,1.40E-13,1.49E-13,9.60E-14,1.06E-13,1.13E-13,1.33E-13,1.24E-13,1.16E-13,1.08E-13,
1.27E-13,1.18E-13,1.25E-13,1.06E-13,1.27E-13,1.09E-13,1.23E-13,1.29E-13,1.22E-13,1.25E-13,
1.03E-13,1.31E-13,1.33E-13,1.22E-13,1.49E-13,1.02E-13,1.10E-13,1.13E-13,1.31E-13,1.13E-13,
1.28E-13,1.27E-13,1.19E-13,9.67E-14,1.26E-13,1.18E-13,1.21E-13,1.18E-13,1.18E-13,1.04E-13,
,,,,,,,,,,
