rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10,,,,
1.65E-13,7.93E-15,8.43E-15,1.86E-14,1.58E-14,3.12E-15,2.13E-14,1.74E-14,1.98E-14,8.90E-16,,,,
4.77E-13,1.61E-14,4.17E-15,1.95E-14,3.82E-14,1.97E-14,3.15E-14,3.87E-14,7.19E-14,5.68E-14,,,,
1.20E-12,3.80E-14,9.90E-14,1.91E-13,2.04E-13,1.39E-13,2.59E-13,2.53E-13,3.26E-13,3.31E-13,,,,
2.74E-12,1.93E-13,4.49E-13,6.76E-13,7.16E-13,5.06E-13,9.57E-13,8.73E-13,1.05E-12,1.03E-12,,,,
5.78E-12,5.26E-13,1.20E-12,1.91E-12,2.02E-12,1.45E-12,2.73E-12,2.49E-12,3.14E-12,3.04E-12,,,,
9.82E-12,1.30E-12,3.09E-12,4.95E-12,5.10E-12,3.67E-12,6.91E-12,6.29E-12,7.75E-12,7.54E-12,,,,
1.59E-11,2.94E-12,6.95E-12,8.94E-12,9.71E-12,8.23E-12,1.31E-11,1.17E-11,1.43E-11,1.41E-11,,,,
2.45E-11,5.83E-12,1.21E-11,1.82E-11,1.70E-11,1.43E-11,2.39E-11,2.13E-11,2.55E-11,2.51E-11,,,,
3.75E-11,9.45E-12,2.07E-11,3.36E-11,2.83E-11,2.37E-11,3.98E-11,3.55E-11,4.25E-11,4.21E-11,,,,
3.89E-11,1.50E-11,3.28E-11,3.92E-11,4.46E-11,3.72E-11,4.52E-11,4.06E-11,4.79E-11,4.77E-11,,,,
9.64E-10,2.29E-11,4.92E-11,1.24E-09,4.84E-11,4.05E-11,1.53E-09,1.46E-09,1.50E-09,1.70E-09,,,,
2.93E-09,3.34E-11,5.08E-11,4.57E-09,1.45E-09,1.35E-09,5.25E-09,5.47E-09,5.32E-09,6.09E-09,,,,
5.58E-09,4.81E-11,1.39E-09,8.76E-09,5.13E-09,5.22E-09,9.80E-09,1.03E-08,1.00E-08,1.07E-08,,,,
8.69E-09,4.89E-11,4.76E-09,1.23E-08,9.66E-09,1.01E-08,9.30E-09,9.72E-09,9.39E-09,1.54E-08,,,,
1.14E-08,1.27E-09,8.95E-09,1.65E-08,9.18E-09,9.44E-09,1.43E-08,1.47E-08,1.45E-08,2.07E-08,,,,
1.49E-08,4.97E-09,1.32E-08,2.09E-08,1.38E-08,1.48E-08,1.97E-08,2.06E-08,1.99E-08,2.65E-08,,,,
1.85E-08,9.53E-09,1.77E-08,2.57E-08,1.89E-08,2.04E-08,2.56E-08,2.67E-08,2.55E-08,3.25E-08,,,,
2.25E-08,9.07E-09,2.29E-08,3.09E-08,2.45E-08,2.66E-08,3.17E-08,3.30E-08,3.17E-08,3.88E-08,,,,
2.69E-08,1.39E-08,2.85E-08,3.67E-08,3.06E-08,3.28E-08,3.84E-08,4.00E-08,3.86E-08,4.55E-08,,,,
3.17E-08,1.94E-08,3.44E-08,4.28E-08,3.70E-08,3.98E-08,4.56E-08,4.71E-08,4.56E-08,5.27E-08,,,,
3.67E-08,2.58E-08,4.11E-08,4.96E-08,4.39E-08,4.72E-08,5.32E-08,5.49E-08,5.28E-08,6.10E-08,,,,
4.24E-08,3.24E-08,4.83E-08,5.66E-08,5.12E-08,5.48E-08,6.16E-08,6.30E-08,6.08E-08,6.98E-08,,,,
4.88E-08,3.94E-08,5.56E-08,6.44E-08,5.91E-08,6.37E-08,6.97E-08,7.21E-08,6.94E-08,7.85E-08,,,,
5.56E-08,4.69E-08,6.34E-08,7.23E-08,6.76E-08,7.26E-08,7.88E-08,8.13E-08,7.90E-08,8.83E-08,,,,
